,tag,center,arch_type,eng_type,block,zone,cut,demo,projmask,blob2,demo-2,cut_mask,blob-mask
mfb_sw_panel_1_35_2,A-0,3924,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_36_1,A-0,3779,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_36_2,A-0,3926,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_37_1,A-0,3781,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_37_2,A-0,3928,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_38_1,A-0,3783,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_38_2,A-0,3930,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_39_1,A-0,3785,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_39_2,A-0,3932,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_40_1,A-0,3787,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_40_2,A-0,3934,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_41_1,A-0,3789,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_41_2,A-0,3936,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_42_1,A-0,3791,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_42_2,A-0,3938,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_43_1,A-0,3793,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_43_2,A-0,3940,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_44_1,A-0,3795,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_44_2,A-0,3942,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_45_1,A-0,3797,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_45_2,A-0,3944,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_46_1,A-0,3799,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_46_2,A-0,3946,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_47_1,A-0,3801,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_47_2,A-0,3948,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_48_1,A-0,3803,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_48_2,A-0,3950,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_49_1,A-0,3805,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_49_2,A-0,3952,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_50_1,A-0,3807,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_50_2,A-0,3954,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_51_1,A-0,3809,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_51_2,A-0,3956,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_52_1,A-0,3811,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_52_2,A-0,3958,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_53_1,A-0,3813,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_53_2,A-0,3960,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_54_1,A-0,3815,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_54_2,A-0,3962,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_55_1,A-0,3817,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_55_2,A-0,3964,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_56_1,A-0,3819,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_56_2,A-0,3966,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_57_1,A-0,3821,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_57_2,A-0,3968,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_58_1,A-0,3823,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_58_2,A-0,3970,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_59_1,A-0,3825,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_59_2,A-0,3972,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_60_1,A-0,3827,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_60_2,A-0,3974,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_61_1,A-0,3829,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_61_2,A-0,3976,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_62_1,A-0,3831,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_62_2,A-0,3978,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_63_1,A-0,3833,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_63_2,A-0,3980,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_64_1,A-0,3835,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_64_2,A-0,3982,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_65_1,A-0,3837,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_65_2,A-0,3984,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_66_1,A-0,3839,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_66_2,A-0,3986,A,0,SW,L2,0,2,2,2,2,0,2
